States,Sector,Yearly Sales,Sales,Revenue,Area (Sq Ft),Profit per Sq Ft,Property Tax Rate,Property Tax Amount,Growth Rate
Maharashtra,Retail,Jan-2025,138,39035694,1741,22421.4210224009,13.1530732601397,5134393.42942395,0
Telangana,Commercial,Nov-2022,226,5790717,1625,3563.51815384615,6.22588018620167,360523.102342012,0
Gujarat,Industrial,Sep-2024,70,34572781,3101,11148.9135762657,11.8745096229299,4105348.20675946,0
Madhya Pradesh,Retail,Sep-2021,436,20159206,1690,11928.524260355,12.2704443069507,2473624.14495347,0
Maharashtra,Retail,Jun-2021,113,1297968,4631,280.2781256748,7.48661810244914,97173.907251997,1.7122918214727
Telangana,Industrial,Jul-2021,51,36710403,4948,7419.24070331447,19.1854722050042,7043064.16391004,0
Tamil Nadu,Commercial,Apr-2023,34,29663439,572,51859.1590909091,17.7496305722099,5265150.83751284,0
West Bengal,Industrial,Nov-2022,48,31507736,2414,13052.0861640431,15.0353350599366,4737293.67740027,0
Delhi,Retail,Oct-2020,300,20151515,2972,6780.45592193809,11.9344334150091,2404969.13979057,0
Madhya Pradesh,Residential,Sep-2020,140,7839838,3546,2210.89622109419,11.1764831237676,876218.171000722,0
Tamil Nadu,Residential,Jan-2024,238,47291381,1207,39180.9287489644,14.7646020072643,6982384.18838901,0
Uttar Pradesh,Industrial,Apr-2023,117,17020181,2304,7387.23133680556,13.1814780411036,2243511.42107108,0.445786641875012
Tamil Nadu,Retail,Dec-2020,181,14967188,4213,3552.61998575837,5.93409658822828,888167.392461713,2.46187231018579
West Bengal,Residential,Sep-2022,444,3438199,3064,1122.12761096606,12.687539731555,436222.864174926,-0.38582527714332
Uttar Pradesh,Retail,Jan-2025,487,49341287,2975,16585.3065546219,17.0960542584926,8435413.19735855,0
Madhya Pradesh,Industrial,Aug-2021,111,9498604,4110,2311.09586374696,11.8885981639544,1129250.8607453,0
West Bengal,Residential,Feb-2024,363,38964208,4755,8194.36550998948,5.77934866331403,2251877.4342189,0.500319584947782
Karnataka,Retail,Nov-2024,21,49778740,3323,14980.0601865784,16.7941729907605,8359927.70822089,0
Delhi,Residential,Jun-2024,284,43221553,2235,19338.5024608501,8.02045673203962,3466565.95728057,0
Madhya Pradesh,Industrial,Jan-2021,110,37357821,2085,17917.4201438849,8.87931252332058,3317117.67849269,-0.0732963530076486
Karnataka,Retail,Sep-2022,53,8525407,566,15062.5565371025,7.47059530148444,636898.654774425,0.0467121143153992
Telangana,Residential,May-2024,452,21631601,3561,6074.58607132828,9.95322597307246,2153042.1291234,0
Madhya Pradesh,Industrial,Feb-2022,314,48555661,2928,16583.2175546448,16.3512725853295,7939468.48571854,1.77793290086972
Telangana,Residential,Jun-2021,454,26054414,4653,5599.48721255104,12.7907878925591,3332564.83138921,1.27717762193685
Uttar Pradesh,Residential,Jun-2023,26,27431806,841,32618.0808561237,8.07321911226069,2214629.80483027,-0.287288590771093
Karnataka,Commercial,Jan-2020,339,13976005,3274,4268.78588882101,18.1674511722806,2539083.8842105,0
Delhi,Commercial,Mar-2024,66,45221695,3317,13633.3117274646,18.1937278242729,8227512.10582284,0.0410695287287115
West Bengal,Industrial,Nov-2021,320,3651882,3161,1155.29326162607,18.0586763756901,659481.552002079,0.605432654565187
Rajasthan,Commercial,Aug-2024,312,32634444,1732,18842.0577367206,8.58194317072309,2800669.43816145,0.608145811666689
Tamil Nadu,Industrial,Jan-2024,21,30819320,4374,7046.02652034751,11.7685901627148,3626999.4617356,0
Maharashtra,Commercial,Nov-2021,327,3710016,2901,1278.87487073423,19.7748448421131,733649.907617572,0
Delhi,Residential,Jun-2020,89,7237320,1994,3629.54864593781,16.5801871446499,1199961.20025717,-0.900256466100778
Karnataka,Industrial,Apr-2022,225,36443815,4711,7735.89789853534,5.4075113183834,1970703.42097571,0
Rajasthan,Industrial,Aug-2024,348,24273962,1161,20907.805340224,5.97806886890738,1451114.16557241,-0.206220193666039
Delhi,Residential,May-2024,273,48518519,4383,11069.7054528862,11.958970652185,5802315.4480848,9.5104354004582
Karnataka,Industrial,Mar-2020,488,23250760,4119,5644.75843651372,18.6383030879234,4333547.11904566,0.455015359345083
Gujarat,Industrial,Aug-2023,158,33442480,2368,14122.6689189189,13.0805269692907,4374452.61559965,-0.655954708671185
Gujarat,Commercial,Jan-2025,90,39336811,2834,13880.3143966126,12.4671876205144,4904194.03129713,0
Telangana,Industrial,Jun-2023,224,10325144,3874,2665.24109447599,6.58210549934946,679611.871039751,0.0342645957294556
Delhi,Retail,Dec-2023,494,36597069,1516,24140.5468337731,14.8517015708644,5435287.47156333,69.3250613306439
Gujarat,Residential,Jun-2023,383,8533951,4906,1739.49266204647,17.3315474090034,1479065.76342612,0
Karnataka,Commercial,Jun-2023,473,12279534,707,17368.5063649222,10.7063001126134,1314683.76247041,2.4434686023243
Telangana,Commercial,Feb-2021,207,38212981,3165,12073.6116903634,16.6341777638799,6356415.18841766,-0.541066334358809
Karnataka,Retail,Oct-2020,209,31529339,2993,10534.3598396258,19.4671498085122,6137863.65676366,-0.96753371413627
Telangana,Residential,May-2023,34,10234816,1132,9041.35689045936,8.05649688691534,824567.632421513,-0.980994283939981
Delhi,Residential,Dec-2021,475,44221639,2602,16995.2494235204,12.8499444679211,5682456.05430455,0.149914112712825
Rajasthan,Commercial,Jun-2021,98,42465471,3459,12276.8057241978,9.30706937126863,3952290.84480596,0.0672679665274425
West Bengal,Industrial,Aug-2023,277,16552465,3583,4619.72229974881,16.8928162855076,2796177.50317294,-0.494378317860417
Madhya Pradesh,Commercial,Dec-2020,152,43090048,2431,17725.235705471,13.6639004882174,5887781.2790451,0
Rajasthan,Residential,Mar-2024,68,9462049,4219,2242.72315714624,14.5187362632546,1373769.93940992,0.509824520486651
Uttar Pradesh,Retail,Jun-2020,419,13351424,3062,4360.36054866101,16.9687123942384,2265564.73909532,-0.166889044345629
Karnataka,Commercial,Dec-2024,498,42339392,2179,19430.6525929325,10.9395570899368,4631741.95937214,0.013798033159391
Uttar Pradesh,Residential,Sep-2021,374,32856072,736,44641.402173913,18.7263510261057,6152743.37611001,5.39880316292548
Rajasthan,Commercial,Oct-2023,35,30036204,4943,6076.51304875582,12.9954330086921,3903334.7691741,-0.422044376082786
Telangana,Industrial,Jan-2024,56,19327165,2040,9474.10049019608,7.36932234253022,1424281.08852268,0.0956769960103812
Madhya Pradesh,Commercial,May-2020,297,8888512,4443,2000.56538374972,15.438486772532,1372251.74939492,1.00267151575198
Madhya Pradesh,Commercial,Aug-2021,275,2447763,863,2836.34183082271,16.8989202565738,413645.517439919,0.240727681063106
Maharashtra,Residential,Aug-2024,25,27550901,2868,9606.31136680614,9.7514251560129,2686605.49082221,0
Madhya Pradesh,Residential,Dec-2021,208,41708934,785,53132.4,17.8576888549813,7448251.6584495,-0.607814684324135
West Bengal,Residential,Apr-2021,410,33638881,648,51911.8533950617,18.5921488214865,6254190.81740275,-0.964400232614127
Madhya Pradesh,Commercial,Jul-2020,416,37936581,4537,8361.60039673793,9.15356731066713,3472550.47720076,-0.877817804581017
Rajasthan,Industrial,Oct-2024,291,22150278,2266,9775.05648720212,19.7528220907283,4375305.00594174,-0.510492360344014
Maharashtra,Retail,Sep-2023,478,8939469,1512,5912.34722222222,7.11067292073138,635656.401440176,-0.137041323112876
Rajasthan,Retail,Sep-2022,95,24955289,3331,7491.83098168718,8.03023502603735,2003968.35812685,0
Rajasthan,Residential,Oct-2022,259,16441617,3007,5467.78084469571,7.76337258857039,1276423.98729573,0.57357835163362
Tamil Nadu,Residential,Nov-2020,400,38900142,2023,19228.9382105784,18.4098456501181,7161456.09987675,-0.89408829826462
Maharashtra,Commercial,Oct-2023,279,43164041,3285,13139.7385083714,14.8143882848744,6394488.63318239,1.67698002014797
Rajasthan,Retail,Oct-2022,344,48743574,3056,15950.122382199,7.28156424833409,3549294.65774427,-0.283049193830735
Tamil Nadu,Residential,Jan-2020,126,46962256,4225,11115.3268639053,11.6048512755252,5449899.96443143,7.07640712610378
Tamil Nadu,Industrial,Jul-2020,16,49592554,2101,23604.2617801047,14.229470376047,7056757.78015513,4.94083503050199
Maharashtra,Industrial,Nov-2021,146,14891234,2908,5120.78198074278,6.25196127484075,930994.183025919,0
Uttar Pradesh,Residential,May-2021,380,24535962,840,29209.4785714286,18.2362455261101,4474438.27251307,-0.579170274511837
Telangana,Residential,Apr-2022,185,1943717,3317,585.986433524269,17.054053031623,331482.527964672,12.3772559022543
West Bengal,Retail,Oct-2023,337,4909352,2996,1638.63551401869,12.5781016036496,617503.282640802,0
Telangana,Retail,May-2023,324,31550824,2225,14180.1456179775,19.5068992288876,6154587.44356367,0.773626013900062
Madhya Pradesh,Commercial,Jul-2022,224,22388358,2189,10227.6646870717,11.2664146891265,2522365.25436623,4.44054790624445
West Bengal,Retail,Sep-2021,486,15829502,3767,4202.15078311654,19.7616547855475,3128171.53951133,1.42561809510133
Madhya Pradesh,Industrial,Mar-2022,91,43648703,4906,8897.00428047289,15.0187999820544,6555511.39833098,-0.244722018592764
Rajasthan,Industrial,Sep-2024,232,8921928,761,11723.9526938239,14.5200690988091,1295470.110546,-0.813444534811666
Karnataka,Residential,Feb-2020,487,25992849,1942,13384.5772399588,7.48932342943678,1946688.53013512,14.2111997276553
Maharashtra,Retail,Oct-2022,381,42807399,905,47300.9933701657,18.2289163745697,7803324.96583837,0.288312090132729
West Bengal,Commercial,Aug-2022,432,47581137,2690,17688.1550185874,11.4123453188092,5430123.66105571,0.903222320814062
West Bengal,Industrial,Jan-2021,492,1808507,4937,366.316994125987,7.43350108673719,134435.387498718,0.999207597286371
Rajasthan,Industrial,Aug-2022,411,21343837,743,28726.5639300135,5.18911279963639,1107555.77770053,1.55544864711856
Uttar Pradesh,Commercial,Aug-2024,452,9831795,4607,2134.09919687432,13.3963352545757,1317100.21974262,0
Tamil Nadu,Commercial,Oct-2023,499,49141341,1060,46359.7556603774,12.9109943318402,6344635.75110024,0.0235151903191728
Rajasthan,Industrial,May-2021,112,12882318,4637,2778.15786068579,15.7903043355374,2034157.21767171,2.48098528562274
Gujarat,Industrial,Nov-2020,282,10486298,3225,3251.56527131783,18.353870795267,1924641.58612667,0.859758487637911
Tamil Nadu,Commercial,Feb-2021,23,600734,1093,549.619396157365,6.19109876964544,37192.0352828419,-0.428842298013509
Maharashtra,Industrial,Aug-2021,168,9046310,2326,3889.21324161651,15.9724473551054,1444917.10232964,0.70029422603175
Tamil Nadu,Residential,Nov-2021,161,20128490,3729,5397.82515419684,7.81117916146373,1572272.41639731,-0.160326404712008
Uttar Pradesh,Residential,Jul-2023,492,18503027,3787,4885.93266437814,17.8726557973575,3306982.32780212,0.421949768672173
Tamil Nadu,Commercial,Jan-2021,117,26812911,4573,5863.3087688607,17.2859527079248,4634867.11507798,1.02093867377155
Maharashtra,Retail,Jun-2024,197,3581091,633,5657.3317535545,13.1119063247832,469549.297325241,-0.00994340721270259
Uttar Pradesh,Commercial,Aug-2023,310,16502437,3638,4536.12891698736,15.6536419793497,2583232.40584773,0.683645378602179
Telangana,Commercial,Jan-2023,107,21106265,4419,4776.25367730256,9.71525169775623,2050526.76874543,-0.350867599143919
West Bengal,Retail,Nov-2021,140,11591989,572,20265.715034965,12.0675184839922,1398865.41523735,0.974910093885497
West Bengal,Retail,Dec-2021,302,13181730,4994,2639.51341609932,17.3245534656571,2283675.86154856,0.0476329839004532
Madhya Pradesh,Retail,Mar-2023,180,41319838,4725,8744.93925925926,11.8889779575982,4912506.43193529,-0.206945172855709
Telangana,Residential,Sep-2020,433,46789704,3478,13453.0488786659,10.3669739798816,4850676.43894363,2.20083764037325
Telangana,Industrial,Feb-2021,483,33783771,4861,6949.96317630117,12.4131867087545,4193642.57148806,-0.6497786359754
Tamil Nadu,Residential,Apr-2024,192,5255469,2485,2114.876861167,17.4237387865583,915699.190568546,0.17904132395386
West Bengal,Industrial,Apr-2022,480,15553770,1292,12038.5216718266,10.0281207105631,1559750.83064335,-0.484356508145971
Maharashtra,Residential,Nov-2020,373,26598641,4759,5589.12397562513,7.60642389703616,2023205.38531086,20.0919912857672
Delhi,Industrial,Sep-2022,48,42028843,594,70755.627946128,15.6802103049617,6590210.97114218,0.169172265022333
Delhi,Residential,May-2022,24,14650540,1633,8971.54929577465,17.3896731906212,2547681.02666124,-0.495769607302562
Uttar Pradesh,Retail,Nov-2020,385,45721400,737,62037.1777476255,6.509562177853,2976262.96158488,-0.106076550427867
West Bengal,Commercial,Apr-2021,13,27846162,3446,8080.72025536854,8.59811169133917,2394244.11051125,0.471864529553578
West Bengal,Residential,Aug-2021,358,2492825,3030,822.714521452145,7.12957984641491,177727.948806392,24.203963524495
Delhi,Industrial,May-2021,479,4332978,2460,1761.37317073171,10.2191211737325,442792.272251171,-0.753906139431736
West Bengal,Retail,Mar-2021,418,31059798,1548,20064.4689922481,11.7552646835812,3651161.46508566,-0.510756223383507
Tamil Nadu,Residential,Jul-2024,406,6652941,3029,2196.41498844503,16.2323950544496,1079931.66585945,-0.432513055862842
Gujarat,Residential,Feb-2022,219,38170243,3464,11019.1232678984,14.7672137732251,5636681.38156949,-0.326214609255779
Karnataka,Retail,Jun-2024,170,43037644,1463,29417.3916609706,14.3139285121765,6160377.59548501,17.6190909724046
Telangana,Residential,Jul-2020,25,44492967,1036,42946.8793436293,10.2856241991448,4576379.38066952,-0.306716708988845
Madhya Pradesh,Commercial,Dec-2024,435,36786070,4723,7788.70844802033,17.6217132962714,6482335.7883657,-0.586891645488567
Uttar Pradesh,Residential,May-2023,117,11056086,4179,2645.6295764537,12.0693075109725,1334393.01801758,-0.127315037413426
Gujarat,Commercial,Oct-2023,391,23789643,4687,5075.66524429272,19.6865740702273,4683365.69023765,-0.687517665094708
Delhi,Commercial,Aug-2022,459,36958065,4224,8749.54190340909,14.5121320744361,5363403.20495592,0.417419926783731
Telangana,Retail,Jul-2023,320,22989029,1042,22062.4078694818,6.89397112346754,1584857.02082558,1.08014949840725
West Bengal,Residential,Jun-2023,236,2440369,1345,1814.40074349442,15.1426634311315,369536.86414767,-0.0938598867384324
Madhya Pradesh,Retail,Nov-2023,179,42181557,4103,10280.6621983914,9.87656023147548,4166086.88367916,-0.7176536842459
West Bengal,Residential,Oct-2022,43,18494276,3536,5230.28167420815,15.2949079502915,2828682.49027285,0.236571198358187
Maharashtra,Residential,Feb-2025,423,48726615,2994,16274.754509018,6.04461722243609,2945337.36220013,-0.598726355943473
Maharashtra,Industrial,Oct-2023,260,26455176,4985,5306.95606820461,7.62322155763939,2016736.67994344,2.59017406337653
Madhya Pradesh,Residential,Apr-2024,256,38733146,3219,12032.6641814228,17.8360588835868,6908466.72802564,2.12077393808091
Madhya Pradesh,Retail,May-2022,278,42164130,2384,17686.2961409396,8.40769335535272,3545030.75635228,1.16694394044089
Delhi,Commercial,Mar-2022,150,15109307,4638,3257.72035360069,17.5556168786441,2652532.04993816,-0.0538915967548223
Madhya Pradesh,Residential,Apr-2022,283,36376898,4849,7501.93813157352,9.18914132681616,3342724.56753176,0.033898995073629
Tamil Nadu,Industrial,Jul-2022,425,8278748,3701,2236.89489327209,14.6432286508806,1212275.99907021,-0.919855528656421
West Bengal,Retail,Feb-2021,105,42154364,3210,13132.200623053,15.4122586026475,6496939.59198133,-0.485826410939797
Gujarat,Residential,Dec-2022,236,2446830,2453,997.48471259682,12.6898212971758,310498.354445686,1.02514727675052
Rajasthan,Retail,Jan-2022,388,33497728,4350,7700.62712643678,9.57966015045097,3208968.50052246,1.27969451286936
Madhya Pradesh,Industrial,Jan-2023,48,41293419,1189,34729.5365853659,8.18966564556644,3381792.94972281,-0.894637355647953
Uttar Pradesh,Industrial,Apr-2023,311,10457168,2450,4268.23183673469,5.49784031843639,574918.398470629,-0.48175828827359
Maharashtra,Retail,Jun-2022,38,38714493,956,40496.3315899582,9.55919601861086,3700794.27348138,-0.721187274284567
Tamil Nadu,Residential,Mar-2020,455,33380340,2630,12692.144486692,14.7974418579693,4939436.40349245,0.231035276437438
Telangana,Commercial,Aug-2021,486,36659646,4476,8190.26943699732,19.0745722767272,6992670.67266235,0.0956581856195771
Rajasthan,Industrial,Apr-2024,327,41978073,4744,8848.6663153457,18.0680672339458,7584626.45315484,0.0314661983534976
Gujarat,Residential,Aug-2021,254,36283612,1679,21610.2513400834,16.4909716480295,5983520.16780104,-0.504560168263251
Rajasthan,Residential,May-2024,245,11217207,4785,2344.24388714734,16.8267101487995,1887486.90868085,0.433612451313022
Madhya Pradesh,Commercial,Jun-2024,194,16040627,4065,3946.03370233702,14.9747735521399,2402047.56959342,0.0808342855882567
Delhi,Industrial,Aug-2020,281,16669764,1382,12062.0578871201,8.90430286349005,1484326.27318903,2.06592347447782
Maharashtra,Industrial,Dec-2021,449,9884451,899,10994.9399332592,18.6079254605875,1839291.27426829,-0.896128315364899
Maharashtra,Residential,Dec-2021,245,4688891,1108,4231.85108303249,15.0609846785875,706193.155105669,-0.388176027347267
Telangana,Residential,Aug-2024,248,9514653,2138,4450.25865294668,13.4066094647066,1275592.36963199,0.0910530773137543
Delhi,Commercial,Nov-2020,386,14564147,2648,5500.05551359517,6.66484203820222,970677.391761567,0.513371275504803
West Bengal,Commercial,Jun-2024,275,21308635,1882,11322.3352816153,11.7058331570964,2494353.26115465,-0.907484721988793
Karnataka,Industrial,Sep-2023,423,38549943,1903,20257.4582238571,11.9053740680289,4589514.91716192,-0.596808917915906
Tamil Nadu,Retail,Jun-2024,418,33384400,1319,25310.386656558,17.9684541428401,5998660.60486229,0.530389258906553
Maharashtra,Industrial,Aug-2020,368,2863999,3792,755.273997890295,13.1997233028168,378039.943395441,9.54666874460706
Uttar Pradesh,Residential,Aug-2022,349,43163528,1319,32724.4336618651,10.7060082345561,4621090.86200495,-0.544808606221499
Maharashtra,Industrial,Nov-2022,398,5290691,919,5757.00870511426,19.6520049276599,1039726.85602726,-0.436918820683898
Rajasthan,Retail,Nov-2024,74,28450196,4719,6028.86119940665,6.66080889989474,1895013.1872055,0.133367496210612
Maharashtra,Commercial,Jul-2023,487,21503105,3802,5655.73513940032,11.3382264246792,2438070.73323651,0.117676205841346
Maharashtra,Retail,Aug-2020,186,10352415,2008,5155.58515936255,5.63037012757108,582879.281642188,2.8348180154713
Karnataka,Retail,Oct-2024,12,17566318,1267,13864.4972375691,16.098561811504,2827924.56123535,0.723680534048821
Karnataka,Retail,Nov-2023,438,43779777,2544,17209.0318396226,18.7711482829873,8217966.85863115,-0.590286312106425
Gujarat,Commercial,Jan-2025,151,48615625,2639,18421.9874952634,9.20055994325734,4472909.7199142,0.798890488777014
West Bengal,Retail,Dec-2022,385,33821714,3529,9583.93709266081,17.8751251519868,6045673.70604705,0.0570184207513294
Uttar Pradesh,Retail,Feb-2023,167,11686361,2049,5703.44607125427,9.38327345692847,1096563.20979384,0.180441513177485
Maharashtra,Retail,Mar-2021,333,26756629,2264,11818.2990282686,18.6615524246587,4993202.34790644,-0.712623099808451
Maharashtra,Residential,Mar-2020,155,32871979,3145,10452.1395866455,16.3094285539518,5361231.92927503,2.38082586837464
Tamil Nadu,Retail,Feb-2025,455,38498210,4216,9131.45398481974,17.0736016526216,6573031.01878973,0.422818830253367
Karnataka,Commercial,Mar-2021,302,28675911,4981,5757.05902429231,5.27009833400682,1511248.70787228,0.326902517788515
Uttar Pradesh,Retail,Feb-2020,162,34314548,2793,12285.910490512,19.4421553561104,6671487.73190707,-0.0452592778415684
Telangana,Retail,Jan-2020,441,6586368,3208,2053.1072319202,15.9000648810549,1047236.78530504,-0.172888350852082
Gujarat,Commercial,Apr-2024,202,28707970,1400,20505.6928571429,9.571266430792,2747716.29557184,0.0384350436184313
West Bengal,Retail,Apr-2020,446,45061177,3584,12572.873046875,17.4409199728827,7859083.81940903,0.210049622165241
Delhi,Commercial,Mar-2020,472,12450831,2509,4962.46751693902,9.22281797622395,1148317.47965726,-0.854491320878884
West Bengal,Retail,May-2023,82,35312381,741,47655.0350877193,18.0913075934919,6388471.4652958,0.295325264346943
Rajasthan,Commercial,Dec-2021,408,34035574,2885,11797.4259965338,6.68870585617906,2276539.43132216,0.891225503091668
Maharashtra,Retail,Aug-2022,314,32886345,4768,6897.30390100671,15.5552896619119,5115566.22396569,0.740249229478266
Gujarat,Retail,Aug-2021,386,14107851,1171,12047.6951323655,13.1104771496737,1849606.58166501,0.911650414643588
Rajasthan,Residential,Jul-2020,353,11860589,663,17889.2745098039,6.44801705293161,764772.801298131,-0.835110129088927
Uttar Pradesh,Residential,May-2020,461,39592598,964,41071.1597510374,8.62840742388259,3416210.66513999,3.31381395119623
Delhi,Retail,Feb-2024,149,29624900,3542,8363.89045736872,5.18606054415972,1536365.25014677,-0.119442985240687
Karnataka,Retail,Nov-2023,196,46177380,2942,15695.9143439837,12.0315194819676,5555840.4709622,1.44869675998647
Gujarat,Industrial,May-2021,302,28987589,2855,10153.2711033275,9.51897891140001,2759322.48383331,0.613441720266511
Gujarat,Commercial,Jun-2024,70,34442508,4778,7208.56174131436,13.9753622644664,4813465.26596782,-0.0449353549438816
Maharashtra,Industrial,Jan-2020,494,16148245,3057,5282.38305528296,9.45856711562926,1527392.59132125,0.0592359153167423
Madhya Pradesh,Residential,Jan-2020,436,49354843,1045,47229.5148325359,9.49878667260477,4688111.24916901,-0.962164707175416
Gujarat,Residential,Apr-2022,389,34023310,4335,7848.51441753172,16.1478979809741,5494049.38855054,0.627110482975139
Tamil Nadu,Residential,Feb-2020,207,6040070,1093,5526.13906678866,5.7221425396753,345621.414896166,-0.720406174785051
Delhi,Residential,Aug-2020,304,27864435,4304,6474.07876394052,18.5434249278798,5167020.58580287,1.09819744741707
Delhi,Retail,Sep-2022,449,6991878,1959,3569.1056661562,17.7839581158677,1243432.65503257,-0.77231153510781
Tamil Nadu,Residential,Aug-2024,328,31741029,3993,7949.1682945154,15.0170702483961,4766572.62249378,3.54014349082669
Telangana,Retail,Jan-2022,311,49884592,3101,16086.6146404386,13.8983235516108,6933121.99856094,0.738963648459517
Tamil Nadu,Retail,Feb-2021,353,2460826,2944,835.87839673913,18.3845374720948,452411.478093051,-0.153088944530991
Tamil Nadu,Residential,May-2023,20,3344664,3172,1054.43379571248,7.77995269293072,260213.276937484,-0.225064170543615
Delhi,Residential,Dec-2024,71,36667707,4700,7801.63978723404,6.18453743286243,2267728.06518732,-0.84492107953727
West Bengal,Commercial,Jun-2021,342,35432801,516,68668.2189922481,8.59265254864307,3044617.47818213,10.6164741444845
Delhi,Industrial,Nov-2020,235,2590212,3691,701.764291519913,16.9186741805029,438229.528864287,0.405994049999663
Madhya Pradesh,Residential,May-2021,162,39285284,892,44041.798206278,5.52005400089725,2168568.89120585,17.2607794999717
Maharashtra,Commercial,Nov-2020,208,44685024,924,48360.4155844156,13.7421025262523,6140661.81196047,-0.00586003832296023
Rajasthan,Commercial,Dec-2020,61,34207431,1071,31939.7114845938,19.9315627428697,6818075.57248884,0.00482922321822388
West Bengal,Industrial,Mar-2022,269,21820139,4131,5282.04768821109,17.8354414075631,3891718.10639382,-0.547334031815004
Karnataka,Retail,Oct-2021,68,25727191,1620,15880.9820987654,12.8216853356538,3298659.47572266,-0.692350617843253
Rajasthan,Residential,Jul-2021,81,26419139,741,35653.358974359,5.95461363929964,1573157.65427953,2.46750611251097
Maharashtra,Industrial,Oct-2020,157,5100108,4397,1159.90629974983,17.4706027157857,891019.606756001,0.350290707249755
Madhya Pradesh,Residential,Jan-2020,358,11893942,4595,2588.45310119695,13.9846776226582,1663329.44532594,-0.572219001868102
Madhya Pradesh,Commercial,Feb-2022,72,3354190,2779,1206.97732997481,6.7239949558935,225535.566411084,3.17848311281764
Karnataka,Commercial,Mar-2022,319,1784382,1288,1385.3897515528,6.40785927235034,114340.687441151,0.150522490585174
West Bengal,Retail,Aug-2020,382,7696042,1214,6339.40856672158,18.6444022915489,1434881.03100657,0.504577293768688
Telangana,Commercial,Jul-2024,252,37907753,3349,11319.1260077635,15.0380039440712,5700569.39124876,0.370794503200116
Tamil Nadu,Commercial,Feb-2020,375,47730658,1275,37435.8101960784,17.4393019897513,8323893.59031541,-0.158589618497145
West Bengal,Industrial,Apr-2023,339,19932053,4526,4403.90035351304,18.184683504234,3624580.75394618,0.320724262598118
Telangana,Residential,Jul-2023,116,12372847,2747,4504.1306880233,13.5765852807248,1679810.1246086,-0.819034451222038
Madhya Pradesh,Residential,Aug-2024,235,18319593,578,31694.7975778547,12.7616952763256,2337890.63452308,2.97441122869943
Delhi,Industrial,Jan-2025,322,48936828,4426,11056.6714866697,11.4564111548149,5606404.22180456,-0.978612517661547
Maharashtra,Retail,Sep-2021,227,38631465,1355,28510.3062730627,9.75419881686679,3768189.90196831,0.20696715690038
Karnataka,Residential,May-2020,434,3757181,2648,1418.875,11.5189394128807,432787.403022264,0.162101350205079
Maharashtra,Commercial,Dec-2023,250,22539912,1531,14722.346178968,16.6081948359524,3743472.5008122,-0.0126388394708163
Uttar Pradesh,Residential,Oct-2020,268,39208480,3771,10397.3693980377,14.028851465227,5500499.42097323,-0.0363060841654824
Uttar Pradesh,Commercial,Nov-2022,385,42416167,4076,10406.3216388616,18.3878493493227,7799420.88771713,0.378956344172251
West Bengal,Retail,Nov-2020,271,33871818,4682,7234.47629218283,11.6507002156878,3946303.97278339,-0.400121081397898
